Question,Answer
How do I contact the Shiprocket support team?," You can connect with the Shiprocket support team via chat, email, or call       Chat - Say hello to us via chat for a faster resolution. It's available at the bottom-right corner of your Shiprocket panel.    Email - We recommend you to write an email in case you wish to contact us during offline hours. You can also write to us if you have over one query.    Call - We recommend you to connect over a call if you have a time-sensitive concern and it needs to be addressed immediately.     Create a Ticket - You can also create a ticket from your Shiprocket panel if you are looking for fast resolutions on your query.     Please note that the support team is available between 09:00 AM to 07:00 PM on all 7 days of a week.     Find the Shiprocket Support Escalation Matrix below for your reference:     Help Desk Line  9266623006  Call from your registered mobile number  Email Support  support@shiprocket.in  Write us from your registered email id  Escalation Desk  escalation@shiprocket.in  Write us with Ticket number in case you are not satisfied with the reply shared by the support team.  Feedback  feedback@shiprocket.in  Share your feedback if you are satisfied or unsatisfied with the Shiprocket support.       "
Can I use the wallet balance to pay my SaaS invoice?," Sorry! Currently, we do not allow you to pay the SaaS invoice using your wallet balance.  "
Why are there additional charges for weight and RTO on my account?," When there is a difference between the weight entered by the seller and the actual weight shared by the courier partner, additional charges applied on the seller.      For RTO, if the order is to be returned to the origin, the additional charges are the standard charge taken by the courier company.    "
What is RTO? What are the possible reasons behind RTO?,"    Your shipment comes in RTO panel when the courier executive couldn't deliver your shipment to the end buyer. In this case they mark the shipment RTO and sent it back to the original pickup address.     There could be a number of reasons behind RTO such as; customer rejects shipment at the time of delivery, incomplete address, the customer is not ready with cash, etc.        "
How to reduce RTO in shipping?,"  You can reduce your RTO cost by following the tips given below:     1. Contact Information - Please make sure you fill correct and complete address with landmark while filling the customer's address. The same goes for his/her contact number.  2. Fake Orders - You can easily detect fake orders by identifying the contact details provided by the buyers. It could be a fake phone number, strange address, or even an email address. The key here is to stay alert against frauds.  3. Order - Make sure you are sending the right order to your customers.  4. NDR - Take action on NDR in time.     "
Will I be charged for RTO?," Yes, you will be charged for your RTO shipments. RTO rates depend on your shipment weight and zone. Apart from that, different couriers have different RTO rates. You can view the estimated RTO charges in the Rate Calculator, or at the time of courier assignment.  "
How to block ODA (Out of Delivery Area) pincodes?," ODA stands for Out of Delivery Area. These are remote areas where the majority of courier partners refuses to deliver orders. This results in RTO and poor customer experience.     In Shiprocket, you can block ODA pincodes by:     Courier: Block all ODA pincodes of the specific courier partner.  Account: Block all ODA pincodes specific to your account for the respective courier partner.  Custom: Block ODA pincodes as per your preference by manually entering the pincodes.      Note: You can view Courier and Account ODA pincodes by clicking the download button.     To know how to block ODA pincodes, follow the steps below:     1. Log in to your account and go to Settings > Courier Selection  2. Here, click on the courier for which you want to block ODA pincodes.  3. Click on the 'Block Pincodes' button to proceed.  4. Select your preferred option and click on submit to save your selection.      You can follow the same steps to unblock the ODA pincodes in future.  "
How to block RTO (Return to Origin) pincodes?," RTO stands for Return to Origin. The process of sending back order to its origin in case of a failed delivery is called RTO.      In Shiprocket, you can block these RTO pincodes by:     Courier: Download and block all RTO pincodes of the specific courier partner.  Account: Download and block all RTO pincodes specific to your account for the respective courier partner.  Custom: Block RTO pincodes as per your preference by manually entering the pincodes.      Note: You can view Courier and Account RTO pincodes by clicking the download button.     To know how to block RTO pincodes, follow the steps below:     1. Log in to your account and go to Settings > Courier Selection  2. Here, click on the courier for which you want to block RTO pincodes.  3. Click on the 'Block Pincodes' button to proceed.  4. Select your preferred option and click on submit to save your selection.     You can follow the same steps to unblock the RTO pincodes in future.     "
How do I add a single product to master catalog in Shiprocket?," Click on Products > Master Catalog to reach the catalog screen.     Then click on the “Add Product” icon on the top right to bring up the Add Product popup.          There are two sets of fields in this popup – basic and advanced. For most shipment purposes you can fill out just the basic fields:     SKU (Stock Keeping Unit): is a mandatory field that is a unique identifier for your product. This what will reflect across your orders, reports and bulk operations.  Product Name: is a mandatory field and is the name of the item being shipped  Category: you can choose default category, or add categories from Settings > Category and select the required category here.  Tax Class: this signifies what kind of Tax applies to the product. By default, we provide 5% and 12.5% tax classes. This information is needed to display the Tax applicable on the invoice. It does not make any changes to your order total.  Type: Single      All Fields:    There are several other optional fields in the advanced form. These serve mostly for reporting and data capturing and do not affect your shipment process or stock sync process directly.  Once you’ve filled the required fields and optional fields (as per your requirements), click the “Add Product” icon to create a product.    "
Why do we require product categories?," Category     Multiple products can be linked to a particular Category based on their attributes such as “Apparels” “Electronics” etc.  By creating a category, you no longer need to define Tax for each product, instead you can define Tax for a category and same will be automatically applied on all the Products in that category.    (Note : In case you have defined 12.5 % Tax for “Product A” which is linked to Category “Apparels” whose Tax is 5% . Then while creating Invoice , the Tax applied on Product i.e 12.5% will be given first priority)     You can check which is the Top Selling Categories  in Dashboard         "
